Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
MUS,19420,19250,19120,19040,19010,18890,18740,18610,18530,18580,18950,19390,19820,20310,20930,21900,24140,26690,26990,26780,26880,27040,27140,496150
MWI,0,0,0,0,480,510,520,530,530,540,610,630,700,760,820,850,910,980,1020,1080,1170,1240,1290,15170
MYS,0,0,0,0,82540,83240,83440,83840,84650,86400,89200,93080,97600,101390,105710,111470,118440,124790,129880,134140,139470,145220,153870,2048370
MYT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,1604040,1600900,1602560,1613030,210,230,260,290,260,290,270,250,240,220,220,230,220,230,200,200,190,210,210,6424960
NAM,0,0,0,0,330,350,370,430,450,470,540,620,660,740,800,860,950,1050,1090,1160,1230,1300,1330,14730
NCL,0,0,0,0,1190,1270,1270,1250,1210,1160,1250,1260,1260,1260,1250,1270,1320,1390,1470,1450,1460,1520,1680,25190
NER,0,0,0,0,0,20,20,20,20,10,20,10,20,20,20,20,20,30,30,30,30,30,40,410
NFK,0,0,0,0,190,230,220,230,220,190,180,170,170,180,190,220,240,250,260,280,290,330,350,4390
NGA,0,0,0,0,1450,1510,1590,1710,1810,1940,2130,2280,2410,2580,2880,3260,3610,4130,4640,5130,5640,6320,6970,61990
NIC,0,0,0,0,850,850,840,810,800,780,780,780,780,770,790,810,820,810,820,820,830,830,850,15420
NIU,0,0,0,0,340,340,360,410,460,470,500,530,570,590,600,620,680,720,770,800,850,890,900,11400
NLD,100960,99420,98180,97250,96360,95770,94860,93780,92790,91910,91840,91760,91610,91620,91850,91270,90560,89580,88500,87660,87030,86360,85650,2126570
NOR,0,0,0,0,2880,3260,3460,3700,3990,4220,4260,4320,4360,4380,4430,4330,4360,4320,4350,4410,4430,4490,4770,78720
NPL,0,0,0,0,1410,1520,1640,1760,2010,2440,2700,3030,3370,3830,4350,7980,14960,24830,27200,27810,29810,32530,36940,230120
NRU,0,0,0,0,490,510,510,500,500,480,520,530,560,560,570,610,620,640,630,630,620,640,750,10870
NZL,287260,289470,293700,301740,312240,320660,328290,345660,365060,389600,402380,409500,413980,423550,437890,458020,483660,504440,517780,543950,577090,602690,616960,9625570
